COUNTRY,Difficult (SPACE I),Difficult (SPACE II),Change (pp negative),Change positive
BE,14.81%,26.96%,12.15%,-12.15%
NL,11.66%,18.69%,7.02%,-7.02%
LU,7.03%,13.57%,6.54%,-6.54%
CY,4.55%,10.42%,5.87%,-5.87%
ES,14.11%,18.07%,3.96%,-3.96%
EA19,9.41%,9.78%,0.37%,-0.37%
IE,8.57%,8.82%,0.25%,-0.25%
LV,11.75%,11.64%,-0.10%,0.10%
FR,7.75%,7.57%,-0.18%,0.18%
IT,6.24%,5.78%,-0.46%,0.46%
FI,7.57%,6.80%,-0.77%,0.77%
GR,16.83%,15.90%,-0.93%,0.93%
AT,5.89%,4.68%,-1.21%,1.21%
PT,7.69%,5.57%,-2.12%,2.12%
DE,8.59%,6.12%,-2.47%,2.47%
LT,16.39%,13.58%,-2.81%,2.81%
SK,10.94%,8.03%,-2.91%,2.91%
SI,10.18%,6.23%,-3.95%,3.95%
EE,10.55%,6.25%,-4.30%,4.30%
MT,21.09%,15.05%,-6.04%,6.04%
